AP,REG,type,an_total_value_value,an_total_low_value,an_total_high_value,excessrate_total_value_value,excessrate_total_low_value,excessrate_total_high_value,fraction_total_value_value,fraction_total_low_value,fraction_total_high_value
pm25v0,UKN0,Attribute,90.20969475,56.34317913,123.8970341,50.20209615,31.35526849,68.94916507,0.608925225,0.380324095,0.836315081
pm25v0,UKM95,Attribute,11.77004875,6.05709499,17.85057621,37.20456974,19.14619876,56.42480938,0.349009521,0.179607753,0.529309224
pm25v0,UKM94,Attribute,8.059761815,4.178168658,12.24307967,71.55518532,37.0940975,108.6950195,0.567024078,0.293945113,0.861328673
pm25v0,UKM93,Attribute,13.4396537,7.557191558,19.29379439,53.19008393,29.90906932,76.35902445,0.459117767,0.258165642,0.659100562
pm25v0,UKM92,Attribute,9.237650322,4.267646441,14.58785457,61.6442892,28.47866151,97.34708688,0.496736198,0.229485151,0.784429112
pm25v0,UKM91,Attribute,4.672339343,1.966359921,7.594479773,40.86409122,17.19770979,66.42099123,0.358218815,0.150757431,0.582250958
pm25v0,UKM84,Attribute,12.78600322,6.488856227,19.31649907,37.85398553,19.21078208,57.1880285,0.367841775,0.186679234,0.555716097
pm25v0,UKM83,Attribute,14.41366041,7.756139617,21.26319028,41.42129959,22.2892362,61.10513714,0.373439031,0.200951997,0.550899681
pm25v0,UKM82,Attribute,25.60841346,11.8279188,40.04370752,42.0627337,19.4278071,65.77312015,0.383650317,0.177199144,0.599910905
pm25v0,UKM81,Attribute,9.079918692,4.264305552,14.05188888,40.77365513,19.14900211,63.10041889,0.38282215,0.179790037,0.592444296
pm25v0,UKM78,Attribute,5.704753954,3.126974679,8.417327462,31.90836552,17.49010563,47.08053756,0.38806845,0.212714872,0.572589601
pm25v0,UKM77,Attribute,9.342018912,4.692022754,14.16112493,38.5668051,19.37016824,58.46154644,0.379829096,0.190769765,0.575762296
pm25v0,UKM76,Attribute,7.081672069,4.095208114,10.24012799,44.65798951,25.82495914,64.57559426,0.440026239,0.254461086,0.636275723
pm25v0,UKM75,Attribute,18.82970774,10.92136365,26.68436409,37.72546019,21.88107072,53.46223296,0.437233908,0.253598999,0.619621822
pm25v0,UKM73,Attribute,9.213356265,5.841836049,12.72190457,48.40100899,30.6892812,66.8325217,0.495995957,0.314493332,0.684873753
pm25v0,UKM72,Attribute,22.05675104,14.62961825,29.35384889,52.49693523,34.81974392,69.86461907,0.50369638,0.334089098,0.670332619
pm25v0,UKM71,Attribute,14.65140243,9.474564775,19.83392859,55.34310194,35.78851112,74.91917446,0.488982723,0.316209726,0.661944262
pm25v0,UKM66,Attribute,1.48128439,1.073277026,1.889498082,65.21474536,47.25198625,83.1865151,0.697856574,0.505640361,0.890168058
pm25v0,UKM65,Attribute,1.864426608,1.293940444,2.404458046,89.37448337,62.02775438,115.2609295,0.83541733,0.5797956,1.077390338
pm25v0,UKM64,Attribute,2.407660399,1.565552773,3.208460767,89.00085916,57.87179859,118.6029301,0.666711059,0.433519203,0.888466137
pm25v0,UKM63,Attribute,5.240716364,2.114102367,8.619406733,51.90793503,20.93961804,85.37306136,0.415474993,0.167602918,0.683329498
pm25v0,UKM62,Attribute,9.899044092,6.41447946,13.43387981,51.03924841,33.07299238,69.26460989,0.497269329,0.322226482,0.674836329
pm25v0,UKM61,Attribute,4.46305821,2.608328441,6.423665738,47.81925746,27.94685721,68.82603701,0.43583062,0.254712202,0.627286153
pm25v0,UKM50,Attribute,21.40248807,14.07082864,28.75121073,45.62355381,29.99476127,61.28865537,0.488988614,0.321481206,0.656884754
pm25v0,UKL,Attribute,226.0004454,147.4141332,307.7919593,74.22140796,48.41263209,101.0828546,0.701677003,0.457687629,0.955615157
pm25v0,UKK,Attribute,446.8244125,306.535073,589.8728702,84.54664191,58.00156077,111.6137888,0.82647596,0.566990529,1.091061946
pm25v0,UKJ,Attribute,804.2799511,617.5298634,992.3640385,93.67185384,71.92169852,115.5773648,1.036088809,0.795518181,1.278375187
pm25v0,UKI,Attribute,515.6932498,347.2354295,677.496553,64.26488834,43.27228219,84.42791357,1.026840657,0.691410829,1.349019392
pm25v0,UKH,Attribute,586.7581477,462.6769101,708.6906097,100.7499169,79.44439749,121.6864888,1.094858048,0.863334224,1.322369909
pm25v0,UKG,Attribute,411.0536163,299.7706484,523.0112434,73.69584569,53.74444063,93.76821541,0.782264512,0.570489063,0.995320847
pm25v0,UKF,Attribute,386.3939976,292.7343395,478.1422016,85.57020742,64.82839784,105.8887622,0.904925071,0.685580243,1.119791067
pm25v0,UKE,Attribute,411.6188581,282.7097807,537.7391287,78.27187094,53.75893332,102.254568,0.814273004,0.559265173,1.063761549
